text_metaphor_id,language,text,image_group,similarity
argument_war,en,argument,control,0.18263353
argument_war,en,argument,source,0.1851136
argument_war,en,argument,target,0.2175817
argument_war,ru,спор,control,0.18589377
argument_war,ru,спор,source,0.18846206
argument_war,ru,спор,target,0.18132356
love_journey,en,love,control,0.18725522
love_journey,en,love,source,0.184869
love_journey,en,love,target,0.2418042
love_journey,ru,любовь,control,0.19089422
love_journey,ru,любовь,source,0.19744612
love_journey,ru,любовь,target,0.20188448
time_money,en,time,control,0.1893816
time_money,en,time,source,0.19259118
time_money,en,time,target,0.25848967
time_money,ru,время,control,0.18794137
time_money,ru,время,source,0.19600938
time_money,ru,время,target,0.19341074
